Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Kales,Bag,50,KES690.00,12/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,KES1466.00,1/1/2013 0:00
Horticulture,Kales,Bag,50,KES685.00,1/1/2013 0:00
Horticulture,Avocado,Bag,90,KES1981.00,1/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,KES1479.00,1/1/2013 0:00
Horticulture,Pineapples,Dozen,13,KES897.00,1/1/2013 0:00
Horticulture,Limes,net,13,KES582.00,1/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES827.00,1/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES1833.00,1/1/2013 0:00
Horticulture,Lemons,Bag,95,KES1875.00,1/1/2013 0:00
Horticulture,Oranges,Bag,93,KES2938.00,1/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES3180.00,1/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES4047.00,1/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES2098.00,1/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1547.00,1/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES2099.00,1/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES1697.00,1/1/2013 0:00
Horticulture,Chillies,Bag,38,KES2403.00,1/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES1785.00,1/1/2013 0:00
Horticulture,Onions Dry,net,13,KES797.00,1/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES2831.00,1/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES2538.00,1/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES609.00,1/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES586.00,1/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES629.00,2/1/2013 0:00
Horticulture,Kales,Bag,50,KES804.00,2/1/2013 0:00
Horticulture,Avocado,Bag,90,KES2394.00,2/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,KES1472.00,2/1/2013 0:00
